chords	cp	key	section	song	artist
['G', 'D', 'Em', 'C']	1,5,6,4	7.0		be like that	3 doors down
['A', 'E', 'F#m', 'D']	1,5,6,4	9.0		someone like you	adele
['G', 'D', 'Em', 'C']	1,5,6,4	7.0		girlfriend	avril lavigne
['F', 'C', 'Dm', 'A#']	1,5,6,4	5.0		grenade	bruno mars
['G', 'D', 'Em', 'C']	1,5,6,4	7.0		call me maybe	carly rae jepsen
['D#', 'A#', 'Cm', 'G#']	1,5,6,4	3.0		so small	carrie underwood
['C', 'G', 'Am', 'F']	1,5,6,4	0.0		parachute	cheryl cole
['D#', 'A#', 'Cm', 'G#']	1,5,6,4	3.0		jar of hearts	christina perri
['Em', 'G#', 'D#', 'Em']	1,3,7,1	4.0		bring me to life	evanescence
['C', 'G', 'Am', 'F']	1,5,6,4	0.0		whistle	flo rida
['C', 'G', 'Am', 'F']	1,5,6,4	0.0		i'm yours	jason mraz
['A', 'E', 'F#m', 'D']	1,5,6,4	9.0		already gone	kelly clarkson
['A', 'E', 'F#m', 'D']	1,5,6,4	9.0		the edge of glory	lady gaga
['Cm', 'Gm', 'A', 'Fm']	1,5,6,4	0.0		she will be loved	maroon 5
['A#', 'F', 'Gm', 'D#']	1,5,6,4	10.0		real world	matchbox 20
['E', 'B', 'C#m', 'A']	1,5,6,4	4.0		the cave	mumford and sons
['G', 'D', 'Em', 'C']	1,5,6,4	7.0		please play this song on the radio	nofx
['C#', 'G#', 'A#m', 'F#']	1,5,6,4	1.0		little talks	of monsters and men
['A', 'E', 'F#m', 'D']	1,5,6,4	9.0		wagon wheel	old crow medicine show
['D', 'A', 'Bm', 'G']	1,5,6,4	2.0		live while we're young	one direction
['A#', 'F', 'Gm', 'D#']	1,5,6,4	10.0		love the way you lie part 2	rihanna
['Bm', 'F#m', 'G#', 'Em']	1,5,6,4	11.0		waka waka	shakira
['Cm', 'Gm', 'A', 'Fm']	1,5,6,4	0.0		wasted time	skid row
['Am', 'Em', 'F#', 'Dm']	1,5,6,4	9.0		run	snow patrol
['G', 'D', 'Em', 'C']	1,5,6,4	7.0		eyes open	taylor swift
['D#m', 'A#m', 'C', 'G#m']	1,5,6,4	3.0		i knew you were trouble	taylor swift
['G#', 'D#', 'Fm', 'C#']	1,5,6,4	8.0		jack sparrow	the lonely island
['G', 'D', 'Em', 'C']	1,5,6,4	7.0		where the green grass grows	tim mcgraw
['C#m', 'G#m', 'A#', 'F#m']	1,5,6,4	1.0		hey soul sister	train
['F', 'C', 'Dm', 'A#']	1,5,6,4	5.0		21 guns	green day
['G#', 'D#', 'Fm', 'C#']	1,5,6,4	8.0		holiday	green day
['B', 'F#', 'G#m', 'E']	1,5,6,4	11.0		when i come around	green day
['A', 'E', 'F#m', 'D']	1,5,6,4	9.0		numb	linkin park
['A', 'E', 'F#m', 'D']	1,5,6,4	9.0		2012 'if the world would end'	mike candys
['B', 'F#', 'G#m', 'E']	1,5,6,4	11.0		confusion and frustration in modern times	sum 41
['B', 'F#', 'G#m', 'E']	1,5,6,4	11.0		walking disaster	sum 41
['G#', 'D#', 'Fm', 'C#']	1,5,6,4	8.0		paparazzi	lady gaga
['C#m', 'G#m', 'A#', 'F#m']	1,5,6,4	1.0		castle of glass	linkin park
['A', 'E', 'F#m', 'D']	1,5,6,4	9.0		river flows in you	yiruma
['C#m', 'G#m', 'A#', 'F#m']	1,5,6,4	1.0		listen to your heart	roxette
['B', 'F#', 'G#m', 'E']	1,5,6,4	11.0		life	the avett brothers
